time,x1,x2
0.0,0.5,0.0
0.05,0.5149345510874396,-0.025735300798542648
0.1,0.5297382155647075,-0.05094818499849355
0.15,0.5444110270727286,-0.07564898807798169
0.2,0.5589530416685511,-0.0998478649408018
0.25,0.5733643377803456,-0.12355479643932153
0.3,0.5876450163477291,-0.14677957377371065
0.35,0.6017952006656062,-0.16953181481664983
0.4,0.6158150363317603,-0.1918209700288056
0.45,0.6297046912468531,-0.21365632245883026
0.5,0.6434643556144255,-0.23504698774336208
0.55,0.6570942419408968,-0.2560019141070255
0.6,0.6705945850355648,-0.27652988236242987
0.65,0.6839656415910107,-0.2966395245744818
0.7,0.6972076905082367,-0.316339312359735
0.75,0.7103210336293919,-0.3356375218807959
0.8,0.7233059945668743,-0.3545422828294638
0.85,0.7361629186798104,-0.373061579439727
0.9,0.7488921730740558,-0.3912032504877626
0.95,0.7614941466021939,-0.4089749892919358
1.0,0.7739692498635378,-0.4263843437128012
1.05,0.786317915204128,-0.44343871615310126
1.1,0.7985405967167349,-0.46014536355776864
1.15,0.8106377702408553,-0.47651139741392134
1.2,0.8226099333627178,-0.4925437837508708
1.25,0.8344576054152771,-0.5082493431401133
1.3,0.8461813258274964,-0.5236347816225501
1.35,0.8577816541567219,-0.538706687838633
1.4,0.8692591749342422,-0.5534714412732215
1.45,0.8806144931437863,-0.5679352983141268
1.5,0.8918482340517812,-0.5821043954635017
1.55,0.902961043207352,-0.5959847493378394
1.6,0.9139535864423216,-0.6095822566679746
1.65,0.9248265498712113,-0.622902694299083
1.7,0.9355806398912401,-0.6359517191906814
1.75,0.9462165831823248,-0.6487348684166273
1.8,0.956735126707081,-0.6612575591651201
1.85,0.9671370377108219,-0.6735250887386999
1.9,0.9774231037215574,-0.6855426345542461
1.95,0.9875941325499983,-0.697315254142983
2.0,0.9976509522895503,-0.7088478851504719
2.05,1.0075944113163198,-0.7201453453366186
2.1,1.0174253777176858,-0.7312123384929327
2.15,1.0271447277636254,-0.7420535705946014
